Accident_Index,Long,Lat,Accident_Severity,Severity_ctx,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Day_ctx,Time,Speed_limit,Light_Conditions,Light_ctx,Weather_Conditions,Road_Surface_Conditions
201501CW11819,-0.152061,51.502119,1,Slight,2,1,02/12/2015,4,Wednesday,07:07:00,30,1,Daylight,1,1
201501CW10780,-0.15225,51.50455,1,Slight,4,1,10/06/2015,4,Wednesday,17:30:00,40,1,Daylight,1,1
201501CW11580,-0.152589,51.513997,1,Slight,2,1,14/10/2015,4,Wednesday,17:00:00,30,1,Daylight,1,1
201501CW10880,-0.153623,51.502683,1,Slight,2,1,24/06/2015,4,Wednesday,20:58:00,30,1,Daylight,1,1
201501CW10934,-0.153832,51.490366,1,Slight,2,1,01/07/2015,4,Wednesday,15:00:00,30,1,Daylight,1,1
201501CW10456,-0.155331,51.517457,1,Slight,1,1,07/01/2015,4,Wednesday,13:15:00,30,1,Daylight,1,1
201501CW10590,-0.155422,51.515211,1,Slight,1,1,06/05/2015,4,Wednesday,08:35:00,30,1,Daylight,2,2
201501CW11427,-0.155564,51.522407,1,Slight,2,1,23/09/2015,4,Wednesday,15:30:00,30,1,Daylight,1,1
201501BS70537,-0.15588,51.489589,1,Slight,2,1,23/09/2015,4,Wednesday,10:35:00,30,1,Daylight,1,1
201501CW10123,-0.15588,51.489589,1,Slight,2,1,04/02/2015,4,Wednesday,07:21:00,30,1,Daylight,1,2
201501CW10149,-0.156137,51.497507,1,Slight,2,1,11/02/2015,4,Wednesday,11:20:00,30,1,Daylight,1,1
201501WW51017,-0.156449,51.47548,1,Slight,2,1,25/11/2015,4,Wednesday,09:13:00,30,1,Daylight,1,1
201501BS70385,-0.157521,51.491773,1,Slight,1,1,08/07/2015,4,Wednesday,17:20:00,30,1,Daylight,1,1
201501CW11390,-0.157595,51.522079,1,Slight,1,1,16/09/2015,4,Wednesday,12:41:00,30,1,Daylight,1,1
201501CW10583,-0.157768,51.510661,1,Slight,2,1,06/05/2015,4,Wednesday,16:50:00,40,1,Daylight,1,1
201501CW11823,-0.158128,51.523167,1,Slight,2,1,11/11/2015,4,Wednesday,10:50:00,30,1,Daylight,1,1
201501CW10124,-0.158268,51.512558,1,Slight,1,1,04/02/2015,4,Wednesday,09:43:00,30,1,Daylight,1,1
201501CW10125,-0.158383,51.513279,1,Slight,2,1,04/02/2015,4,Wednesday,09:54:00,30,1,Daylight,1,1
201501CW10542,-0.158439,51.519035,1,Slight,1,1,29/04/2015,4,Wednesday,13:22:00,30,1,Daylight,1,1
201501CW11286,-0.158577,51.512023,1,Slight,2,1,12/08/2015,4,Wednesday,18:20:00,10,1,Daylight,1,1
